Date;Open;High;Low;Close;Adj Close;Volume;MM200;Mayer;Variation;Gain;Loss;Simple RS;Classic RS;Simple RSI;Classic RSI
2015-07-20;34.0;34.0;34.0;34.0;19.570083618164062;0;16.739762282371522;1.1690777496149467;0.0;0.0;0.0;;24.060564318726392;;96.00966687229483
2015-07-21;34.0;34.0;34.0;34.0;19.570083618164062;0;16.761809883117675;1.1675400063972121;0.0;0.0;0.0;;24.060564318726392;;96.00966687229483
2015-07-22;34.0;34.0;34.0;34.0;19.570083618164062;0;16.78385748386383;1.1660063031981138;0.0;0.0;0.0;;24.060564318726392;;96.00966687229483
2015-07-23;34.0;34.0;34.0;34.0;19.570083618164062;0;16.805905084609986;1.1644766241173987;0.0;0.0;0.0;;24.060564318726392;;96.00966687229483
2015-07-24;34.0;34.0;34.0;34.0;19.570083618164062;0;16.82795268535614;1.1629509533381415;0.0;0.0;0.0;;24.060564318726392;;96.00966687229483
2015-07-27;34.0;34.0;34.0;34.0;19.570083618164062;0;16.850000286102294;1.1614292751262008;0.0;0.0;0.0;;24.060564318726392;;96.00966687229483
2015-07-28;34.0;34.0;34.0;34.0;19.570083618164062;0;16.87204788684845;1.159911573829677;0.0;0.0;0.0;;24.060564318726396;;96.00966687229483
2015-07-29;34.0;34.0;34.0;34.0;19.570083618164062;0;16.894095487594605;1.1583978338783776;0.0;0.0;0.0;;24.060564318726396;;96.00966687229483
2015-07-30;34.0;34.0;34.0;34.0;19.570083618164062;0;16.91614308834076;1.1568880397832824;0.0;0.0;0.0;;24.060564318726396;;96.00966687229483
2015-07-31;34.0;34.0;34.0;34.0;19.570083618164062;0;16.938190689086912;1.1553821761360172;0.0;0.0;0.0;;24.060564318726392;;96.00966687229483
2015-08-03;34.0;34.0;34.0;34.0;19.570083618164062;0;16.960238289833068;1.1538802276083282;0.0;0.0;0.0;;24.06056431872639;;96.00966687229483
2015-08-04;34.0;34.0;34.0;34.0;19.570083618164062;0;16.982285890579224;1.1523821789515625;0.0;0.0;0.0;;24.060564318726385;;96.00966687229483
2015-08-05;34.0;34.0;34.0;34.0;19.570083618164062;0;17.00433349132538;1.1508880149961525;0.0;0.0;0.0;;24.060564318726385;;96.00966687229483
2015-08-06;34.0;34.0;34.0;34.0;19.570083618164062;0;17.02638109207153;1.1493977206511035;0.0;0.0;0.0;;24.060564318726385;;96.00966687229483
2015-08-07;34.0;34.0;34.0;34.0;19.570083618164062;0;17.048428692817687;1.1479112809034842;0.0;0.0;0.0;;24.060564318726385;;96.00966687229483
2015-08-10;34.0;34.0;34.0;34.0;19.570083618164062;0;17.070476293563843;1.1464286808179251;0.0;0.0;0.0;;24.06056431872638;;96.00966687229483
