;Data Referência;Demonstração Financeira;Release de Resultados;Acao;Data Divulgação
25;30/09/2015;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=51658&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
26;30/06/2015;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=50185&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
27;31/03/2015;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=47203&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
28;31/12/2014;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=45720&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
29;30/09/2014;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=42397&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
30;30/06/2014;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=40664&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
31;31/03/2014;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=37923&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
32;31/12/2013;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=36004&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
33;30/09/2013;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=32644&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
34;30/06/2013;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=30851&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
35;31/03/2013;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=27291&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
36;31/12/2012;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=25565&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
37;30/09/2012;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=22799&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
38;30/06/2012;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=20707&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
39;31/03/2012;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=17882&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
40;31/12/2011;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=15933&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
41;30/09/2011;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=12975&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
42;30/06/2011;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=11161&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
43;31/03/2011;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=9703&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
44;31/12/2010;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=7079&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
