;Acao;Data;Hora;Descrição;Link
45;CASH3;12/04/2021;09:24;ERRATA: Comunicado Live com Executivos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=852955&descTipo=IPE&CodigoInstituicao=1
46;CASH3;12/04/2021;08:29;Comunicado Live com Executivos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=852947&descTipo=IPE&CodigoInstituicao=1
47;CASH3;05/04/2021;19:44;Prévia Operacional 1T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=850573&descTipo=IPE&CodigoInstituicao=1
48;CASH3;03/03/2021;18:52;Comunicado Live com Executivos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=838319&descTipo=IPE&CodigoInstituicao=1
49;CASH3;01/03/2021;18:41;Comunicado Live com Executivos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=837288&descTipo=IPE&CodigoInstituicao=1
50;CASH3;26/02/2021;13:28;Aquisição de Participão Acionária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=836336&descTipo=IPE&CodigoInstituicao=1
51;CASH3;26/02/2021;10:08;Eleição DRI;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=836231&descTipo=IPE&CodigoInstituicao=1
52;CASH3;25/02/2021;20:52;Eleição Membro do Comitê de Auditoria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=835993&descTipo=IPE&CodigoInstituicao=1
53;CASH3;25/02/2021;20:45;Eleição DRI;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=835992&descTipo=IPE&CodigoInstituicao=1
54;CASH3;08/02/2021;07:22;Comunicado Live com Executivos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=828321&descTipo=IPE&CodigoInstituicao=1
55;CASH3;07/01/2021;20:20;Prévia Operacional 2020;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=821171&descTipo=IPE&CodigoInstituicao=1
56;CASH3;07/01/2021;18:31;Comunicado Live com Executivos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=821074&descTipo=IPE&CodigoInstituicao=1
57;CASH3;10/12/2020;19:45;Comunicado Mercado - Black Friday 2020;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=815231&descTipo=IPE&CodigoInstituicao=1
