;Acao;Data;Hora;Descrição;Link
44;BRSR3;04/06/2020;18:47;Pagamento de Dividendos Referentes ao Exercício de 2019;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=766667&descTipo=IPE&CodigoInstituicao=1
45;BRSR3;12/05/2020;08:33;Esclarecimentos notícia veiculada;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=761152&descTipo=IPE&CodigoInstituicao=1
46;BRSR3;12/05/2020;08:16;Guidance;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=761148&descTipo=IPE&CodigoInstituicao=1
47;BRSR3;30/04/2020;17:05;Alteração na data da teleconferência de resultados 1t2020;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=757973&descTipo=IPE&CodigoInstituicao=1
48;BRSR3;31/03/2020;17:13;Alteração data AGO/E;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=750661&descTipo=IPE&CodigoInstituicao=1
49;BRSR3;30/03/2020;07:58;Covid-19;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=749570&descTipo=IPE&CodigoInstituicao=1
50;BRSR3;26/03/2020;17:46;Alteração dada da AGOE;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=748608&descTipo=IPE&CodigoInstituicao=1
51;BRSR3;05/03/2020;18:26;Distribuição de Juros sobre o Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=743399&descTipo=IPE&CodigoInstituicao=1
52;BRSR3;27/02/2020;18:04;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=741306&descTipo=IPE&CodigoInstituicao=1
53;BRSR3;11/02/2020;08:43;Fato relevante;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=736047&descTipo=IPE&CodigoInstituicao=1
54;BRSR3;11/11/2019;09:01;GUIDANCE;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=720489&descTipo=IPE&CodigoInstituicao=1
55;BRSR3;06/11/2019;18:26;Distribuição de Juros sobre o Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=719497&descTipo=IPE&CodigoInstituicao=1
