;Acao;Data;Hora;Descrição;Link
86;PETR3;14/04/2022;13:30;Petrobras aprova eleição de Presidente;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=967396&descTipo=IPE&CodigoInstituicao=1
87;PETR3;13/04/2022;21:55;Petrobras publica Relatório de Sustentabilidade 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=967270&descTipo=IPE&CodigoInstituicao=1
88;PETR3;13/04/2022;20:19;Petrobras sobre recebimento da compensação de Atapu;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=967239&descTipo=IPE&CodigoInstituicao=1
89;PETR3;13/04/2022;17:20;Petrobras sobre pagamento de dividendos ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=967093&descTipo=IPE&CodigoInstituicao=1
90;PETR3;12/04/2022;20:15;Petrobras sobre eleição de seu Presidente ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=966865&descTipo=IPE&CodigoInstituicao=1
91;PETR3;12/04/2022;08:31;Petrobras sobre resultado da oferta de recompra de títulos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=966578&descTipo=IPE&CodigoInstituicao=1
92;PETR3;11/04/2022;09:03;Petrobras sobre voto múltiplo para a AGO;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=966081&descTipo=IPE&CodigoInstituicao=1
93;PETR3;11/04/2022;08:41;Petrobras divulga novo teaser de E&P na Bacia de Sergipe-Alagoas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=966071&descTipo=IPE&CodigoInstituicao=1
94;PETR3;06/04/2022;20:42;Petrobras sobre ofício do Ministério das Minas e Energia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=964705&descTipo=IPE&CodigoInstituicao=1
95;PETR3;05/04/2022;09:19;Oferta de recompra de títulos globais;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=963835&descTipo=IPE&CodigoInstituicao=1
96;PETR3;04/04/2022;21:46;Petrobras sobre recebimento pela venda da NTS;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=963736&descTipo=IPE&CodigoInstituicao=1
97;PETR3;04/04/2022;21:13;Petrobras sobre ofícios do Ministério das Minas e Energia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=963712&descTipo=IPE&CodigoInstituicao=1
98;PETR3;04/04/2022;19:56;Petrobras sobre desinvestimento do Polo Marlim;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=963670&descTipo=IPE&CodigoInstituicao=1
99;PETR3;04/04/2022;08:56;Petrobras sobre indicação ao Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=963271&descTipo=IPE&CodigoInstituicao=1
