;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
124;CMIN3;ON N2;CSNMINERACAO ON N2;Mineração;7,16;03/02/2022;5,15;10,39;62.634.400;40.033.300.000;32.640.600.000;30/09/2021;5591250000;-0.14;5.71;1.25;2.81;2.55;3.50;60.7;1.88;53.8;1.41;33.0;5.58;40.3;94.37;77.1;6.5;49.2;2.56;1.97;2.86;0;28.360.600.000;12.043.500.000;14.545.200.000;4.650.820.000;-7.392.710.000;14.239.600.000;7.009.350.000;804.065.000
125;COCE3;ON;CIA ENERG CEARA - COELCE ON;Energia Elétrica;58,92;28/12/2021;48,49;85,39;543;4.587.220.000;7.599.220.000;30/09/2021;77855000;0.00;9.81;6.01;1.32;44.78;7.44;12.1;0.63;8.4;0.42;6.4;-1787.06;5.7;-1.07;6.8;6.1;13.4;7.92;1.00;12.33;11.7;10.851.500.000;334.679.000;3.086.310.000;3.346.680.000;3.012.000.000;3.486.140.000;467.749.000;83.043.000
126;COCE5;PNA;CIA ENERG CEARA - COELCE PNA;Energia Elétrica;54,00;03/02/2022;47,14;60,61;478.530;4.204.170.000;7.216.170.000;30/09/2021;77855000;-1.39;8.99;6.01;1.21;44.78;6.82;12.1;0.57;8.4;0.39;6.4;-1637.83;5.7;-0.98;6.8;6.7;13.4;7.52;1.00;11.71;11.7;10.851.500.000;334.679.000;3.086.310.000;3.346.680.000;3.012.000.000;3.486.140.000;467.749.000;83.043.000
127;COGN3;ON;COGNA ON;Diversos;2,54;03/02/2022;2,00;4,80;77.862.800;4.766.580.000;10.813.800.000;30/09/2021;1876610000;1.20;-1.04;-2.44;0.38;6.76;-21.92;64.3;1.11;-5.1;0.16;-107.2;1.73;-0.8;-0.65;-0.9;0.0;-36.1;19.41;1.54;-49.72;-5.6;28.898.600.000;3.168.250.000;7.843.680.000;9.215.440.000;6.047.190.000;12.679.000.000;-4.574.080.000;-370.222.000
128;CORR4;PN;CORREA RIBEIRO SA COM. IND. PN;Exploração de Imóveis;82,00;11/02/2021;82,00;82,00;0;1.898.550;-12.821.500;30/09/2021;23153;0.00;-0.33;-248.31;-7.91;-10.37;-2.72;95.2;0.49;-18.0;0.09;-147.9;0.12;-3.3;-0.43;-10.9;0.0;2395.4;19.28;31.44;18.34;15.0;21.129.000;14.720.000;16.977.000;0;-14.720.000;-240.000;-5.749.000;-619.000
129;CPFE3;ON;CPFL ENERGIA S.A. ON;Energia Elétrica;28,83;03/02/2022;22,54;29,61;66.609.200;33.219.500.000;47.850.800.000;30/09/2021;1152250000;1.62;7.51;3.84;2.25;12.81;4.90;22.9;0.88;18.0;0.54;12.0;17.29;11.0;-1.07;13.0;12.8;30.0;5.83;1.14;7.06;8.8;61.639.600.000;4.920.860.000;15.455.000.000;19.552.100.000;14.631.300.000;14.756.100.000;4.420.540.000;1.401.850.000
130;CPLE3;ON;COPEL ON;Energia Elétrica;6,57;03/02/2022;4,79;6,57;6.183.820;17.979.200.000;23.583.200.000;30/09/2021;2736550000;0.31;3.17;2.07;0.83;7.88;4.60;21.6;0.79;17.1;0.36;25.3;8.21;7.8;-1.13;9.3;18.1;26.3;4.77;1.22;6.04;12.7;49.833.900.000;4.855.000.000;12.014.400.000;10.459.000.000;5.604.030.000;21.564.100.000;5.663.380.000;2.829.100.000
131;CPLE6;PNB;COPEL PNB;Energia Elétrica;7,26;03/02/2022;4,86;7,26;77.440.300;19.867.400.000;25.471.400.000;30/09/2021;2736550000;2.25;3.51;2.07;0.92;7.88;5.09;21.6;0.87;17.1;0.40;25.3;9.07;7.8;-1.25;9.3;18.0;26.3;5.15;1.22;6.52;12.7;49.833.900.000;4.855.000.000;12.014.400.000;10.459.000.000;5.604.030.000;21.564.100.000;5.663.380.000;2.829.100.000
132;CRDE3;ON;CR2 ON;Construção Civil;16,87;03/02/2022;15,49;27,98;8.319;40.859.100;25.277.100;30/09/2021;2422000;-0.76;-2.29;-7.38;0.40;42.32;-4.28;-29.6;19.70;-460.7;0.36;-861.0;2.93;-8.3;4.35;-9.8;0.0;-17.4;-2.65;2.79;-2.65;-28.4;114.844.000;15.582.000;21.731.000;0;-15.582.000;102.494.000;-17.870.000;-1.889.000
133;CRFB3;ON NM;CARREFOUR BR ON NM;Comércio e Distribuição;16,45;03/02/2022;13,96;22,94;67.569.600;32.658.800.000;42.381.800.000;30/09/2021;1985340000;-0.72;10.67;1.54;1.93;8.52;6.50;19.0;0.43;6.6;0.60;4.3;16.80;9.3;-3.53;11.8;5.5;18.1;6.82;1.08;8.43;13.5;54.199.000.000;2.358.000.000;26.656.000.000;12.081.000.000;9.723.000.000;16.925.000.000;3.062.000.000;638.000.000
